name,text
Lynn Worthy,#BMets now lead 4-2 in 2nd. But Reese Havens has just been ejected for arguing balls and strikes with home plate umpire. #Mets
Roger That ! ,That shit scarred me
SPEECHless,Loosin focus on what really matters
Mella World,#oomf trying to cook
dibernardo,Michael was usually off with his friends  and had no interest in going into the woods even if he was at home  and it wasn't uncommon for...
Daniel Griffith,Some things really get on your nerves like running out of gas in te middle of nowhere and walking 4 miles home
Lyssa Marie (:,new twitcon ;D
Alliey ,So fucking tired of you. Stop trying to be me.
Will O'Connor,Is it a law that whenever a musician dies you call Paul Gambaccini?
Sophia Cuzzupe,dinner with the brothaa and mo
Villain,The score is what?
ENiGMiC SOUL,I either want Chinese Food tonight  or seafood! It's gotta be one or the other
Alliey ,So fucking tired of you. Stop trying to be me.
Angie Kates,when a women feed up its nothin yu can do abou it
#chillcharlie,this shit is what you make of it
Vane Bp,Tonight we are young! So lets set the world on Fire! We can burn brighter than te sun (:
Ellie Thomas,Thank you @265lisa for a great day that included the Avengers + pickled onion Monster Munch - and despite the incessant nagging xxxx
miidGe,After this week only 8 days left of school. Looking forward to the BEST EVER lay in!
solekah ,Khloe &amp; Kourtney have the best personality
Hillary Lanoah .,One day i'll pee in a mf's mouth !
a j d e h a n y,1974 edition of King John  nice cover by David Gentleman  from Act 4 Sc 1 #g2g http://t.co/9B4YV9aJ
Katherine Beaman,You know what's almost not-as-fun as pouring boiling water on your hand? Fishing bowling pins out of the ball return with a burnt hand.
Roko Mono,I'm always waking up needing the toilet. :( If only it could wait 'til the morning.
Erik Anthony,So I'm wearing this shirt.......
Ashley F,I was addicted to buying them things at one point
Gregory Hart,Whatevr u got that's financially winning...cut me n with it
Major Queen Fan,did i say that right?
Sydney Leung,Ay. Say no to the YA #writeurpassage
Scott Rennie,And I am changed by you  The more I get to know you.
Takoria Williams ,Mwah to all uu bitches !!!
property of Niall,If I Die Tomorrow   I'll go to London and see the boys of "One Direction" taking a shower and everything that I can do!
#kevq,Had just heard that Richard Bruton is launching another leadership challenge  then on advice from Coveney  retracted the thought..
Noelle,If I Die Tomorrow  someone needs to bring Zayn Malik to my house PRONTO so we can get the love session over with
Niki Cureton,Wondering...even though I have bought an incense holder.The incense still manages to land on the counter...  #DidYouReallyJust
Takoria Williams ,Mwah to all uu bitches !!!
Its_luekid, related?"@Mzz_Akua: loosing a mum is one of the worst things to happen to anyone....what did this 3 months old baby do to deserve that?"
Michael Audette,in a very weird mood
Trista Kempa,This email-intensive job takes the personality out of me. All of my tweets and emails tend to be functional and short. I'm losing me!
Shemaiah Price,I'm looking for Bron &amp; Wade to go off
Andrew Gonzalez ,in such a great mood
Kourt,Watch the heat fans storm my timeline now that they're back in the game
Sher'e D,It takes hard work and dedication..no half stepping either
.. Asianna Monroe ,Where the real niggas at  ? Where the real niggas at ? I guess no where around here . *shrugs*
Brandon Anderson,Swea everytime that song comes on and im driving i blast it #judgeme
Breanna White,When people start fights to get attention &lt;&lt;&lt; all attention is not good attention
Krysten,Now that Wayne has brainwashed me into believing BMW's suck  it won't be a BMW.
SuxkOnMyDopeSwag(;,It's not about being who everyone else wants you to be. It's about being yourself and finding someone who loves every bit of it.
Andres,A good agave pia ( hearth of agave plant after leaves are cut) is selected by its #Jimador ( he who harvest the plant) after 7-10 years
King Rohn,we threw a party  yeah  we threw a party.
Josh Owens,Debating whether to leave the comfort of my bed to get something to eat? #lifechangingdecisions
Rachel Cohen,...I was not just singing at the top of my lungs when my neighbor is mowing his lawn outside.
Laura Honsberger,No one touch me or talk to me  worst mood I've been in for awhile
Ahmed zakaria,Exams; bad for your health and may lead to your death .. Be aware
regan tracey,and that's how its done #proudofyeah
Just Adam,Then and now #wow http://t.co/J4WpekUV
chloe richardson,I refuse for my summer to be anything less than EXCITING so from tomorrow plans with start being put in place #operationspiceupsummer2012
Chloe,Coming up to my last 12 hours of dance... Guys this is so weird.
True Breeze,View from the office http://t.co/PJgL2sDY
# THE FEMALE BOSS .,#Cancers are care-givers but that doesnt mean they dont expect to be taken care of in return.
goldthwaite,Flustered as could be  running all ways at once  and falling over.
M,I used to be one of the rotten ones and you liked me for that. Now I'm all gone  got my makeup on  and I'm not coming back. #DreamAboutMe
Deneshia Saylor,I'm forever wearing a cap or beanie and if I don't  I leave my hair crazy huge and curly.
Morgan Raynor,Ate too much food!!!! But Qdoba is the shit
M,I used to be one of the rotten ones and you liked me for that. Now I'm all gone  got my makeup on  and I'm not coming back. #DreamAboutMe
Deneshia Saylor,I'm forever wearing a cap or beanie and if I don't  I leave my hair crazy huge and curly.
Morgan Raynor,Ate too much food!!!! But Qdoba is the shit
Cori Lynn Echols,i love the ones who are in my life and make it amazing. i also love the ones who left my life and made it fantastic.
Genevieve,Decided to catch the 804 cos I cbb walking or paying for a ticket LOL
Caressa,I swear sometimes they piss me off but I love em
Genevieve,Decided to catch the 804 cos I cbb walking or paying for a ticket LOL
Charlotte Morrice ,me &amp; @CatherineYS could not stop creasing on the way home  what we were laughing at? I don't even know :L
Girl Wit Da Tattoos,ugh gotta do some wit dis head
Raven Nevar,this fone tweakin out
obradovich,Bill  breathing hard  squeezed in and pushed the door shut with his back.
alexsimball,You can cut with a razor the silence in here...
J  N E 5TH .,my little sister hit her head while opening the fridge  !
Dominique ,needs to be finished
Shyann Harris,If I die tomorrow I couldn't wait to see JoJo and my nanny &lt;3
Colin Furr,Tengo un ridiculous amount of homework to do  but I'm going to the 36 instead #lickmybuttholeb #andcallmemaybe
Mayra. ,OMC! What if they played one direction at the dance. I would not be able to breath. Oh my gosh. I will go crazy.
Cori Lynn Echols,i love the ones who are in my life and make it amazing. i also love the ones who left my life and made it fantastic.
Rasha Alaa Mohamed,Go to a place with an elevator and pretend you live there.
Avery Oliver,Phone ringing  gotta be the Mexicans!!!
